Player,Team,ACS,KD_ratio,ADR,HS%,event,Region
Estrella,DRX,152.2,0.74,99.4,27.0,VCT 2025: Pacific Stage 2,Pacific
NcSlasher,BME,159.9,0.75,106.1,24.0,VCT 2025: Pacific Stage 2,Pacific
ZesBeeW,TS,151.4,0.72,101.2,24.0,VCT 2025: Pacific Stage 2,Pacific
Wild0reoo,TS,162.9,0.7,107.5,34.0,VCT 2025: Pacific Stage 2,Pacific
JessieVash,TS,141.7,0.7,103.7,32.0,VCT 2025: Pacific Stage 2,Pacific
SSeeS,DFM,122.5,0.64,81.5,25.0,VCT 2025: Pacific Stage 2,Pacific
stew,JDG,262.4,1.22,169.1,36.0,VCT 2025: China Stage 2,China
slowly,TYL,231.2,1.24,151.7,32.0,VCT 2025: China Stage 2,China
Ezeir,NOVA,226.1,1.1,143.0,20.0,VCT 2025: China Stage 2,China
whzy,BLG,251.8,1.24,160.4,29.0,VCT 2025: China Stage 2,China
rushia,BLG,213.2,1.15,138.7,23.0,VCT 2025: China Stage 2,China
happywei,XLG,248.8,1.23,161.9,29.0,VCT 2025: China Stage 2,China
Shr1mp,AG,205.9,1.14,135.5,26.0,VCT 2025: China Stage 2,China
nephh,BLG,199.2,1.08,125.1,21.0,VCT 2025: China Stage 2,China
Kai,TE,251.2,1.23,156.3,27.0,VCT 2025: China Stage 2,China
Life,FPX,229.6,1.17,146.8,30.0,VCT 2025: China Stage 2,China
Knight,BLG,204.3,1.18,129.6,27.0,VCT 2025: China Stage 2,China
vo0kashu,DRG,214.2,1.18,142.3,31.0,VCT 2025: China Stage 2,China
Rarga,XLG,228.5,1.09,153.0,34.0,VCT 2025: China Stage 2,China
Scales,TYL,220.4,1.12,138.9,36.0,VCT 2025: China Stage 2,China
ZmjjKK,EDG,238.3,1.12,151.2,23.0,VCT 2025: China Stage 2,China
K1ra,AG,210.4,1.1,136.0,26.0,VCT 2025: China Stage 2,China
AAAAY,FPX,183.3,1.06,125.9,41.0,VCT 2025: China Stage 2,China
Flex1n,DRG,190.5,1.03,118.7,28.0,VCT 2025: China Stage 2,China
MarT1n,TE,193.4,1.08,123.7,32.0,VCT 2025: China Stage 2,China
Autumn,FPX,195.7,1.02,132.2,31.0,VCT 2025: China Stage 2,China
yosemite,FPX,195.4,1.0,130.3,24.0,VCT 2025: China Stage 2,China
nobody,EDG,204.1,1.07,137.3,34.0,VCT 2025: China Stage 2,China
Jieni7,EDG,210.5,1.03,132.8,29.0,VCT 2025: China Stage 2,China
Viva,XLG,175.2,1.01,121.6,29.0,VCT 2025: China Stage 2,China
Nicc,DRG,191.3,0.98,130.8,35.0,VCT 2025: China Stage 2,China
NoMan,XLG,190.2,1.03,129.5,33.0,VCT 2025: China Stage 2,China
Smoggy,EDG,192.2,0.99,125.1,31.0,VCT 2025: China Stage 2,China
Spitfires,AG,226.3,1.11,141.7,28.0,VCT 2025: China Stage 2,China
Haodong,TEC,187.1,0.98,121.6,33.0,VCT 2025: China Stage 2,China
Spring,WOL,206.0,0.9,136.9,28.0,VCT 2025: China Stage 2,China
SpiritZ1,DRG,225.4,1.02,147.8,34.0,VCT 2025: China Stage 2,China
Abo,TEC,190.8,0.99,127.0,37.0,VCT 2025: China Stage 2,China
Coco,TEC,199.1,0.92,134.3,34.0,VCT 2025: China Stage 2,China
GuanG,NOVA,204.2,1.03,131.7,25.0,VCT 2025: China Stage 2,China
cb,NOVA,189.4,0.94,127.3,28.0,VCT 2025: China Stage 2,China
HanChe,AG,174.6,0.94,123.6,26.0,VCT 2025: China Stage 2,China
CHICHOO,EDG,176.2,0.99,118.5,28.0,VCT 2025: China Stage 2,China
BerLIN,FPX,166.9,0.85,106.9,28.0,VCT 2025: China Stage 2,China
Ninebody,TYL,200.5,0.99,131.3,28.0,VCT 2025: China Stage 2,China
lucas,TEC,182.8,0.91,121.4,28.0,VCT 2025: China Stage 2,China
Lysoar,WOL,200.4,0.95,130.4,27.0,VCT 2025: China Stage 2,China
FengF,TE,183.5,0.92,120.4,28.0,VCT 2025: China Stage 2,China
jkuro,JDG,183.1,0.91,116.3,32.0,VCT 2025: China Stage 2,China
coconut,XLG,166.1,0.91,112.2,28.0,VCT 2025: China Stage 2,China
sword9,TYL,171.1,0.92,115.9,26.0,VCT 2025: China Stage 2,China
Levius,BLG,176.9,0.91,119.3,24.0,VCT 2025: China Stage 2,China
LuoK1ng,TE,174.3,0.84,108.1,31.0,VCT 2025: China Stage 2,China
deLb,AG,178.0,0.97,112.4,36.0,VCT 2025: China Stage 2,China
SWERL,NOVA,197.1,0.94,131.9,27.0,VCT 2025: China Stage 2,China
Yoyo,TYL,185.2,0.88,125.5,27.0,VCT 2025: China Stage 2,China
SiuFatBB,WOL,148.9,0.75,103.4,29.0,VCT 2025: China Stage 2,China
monk,NOVA,167.7,0.72,108.4,24.0,VCT 2025: China Stage 2,China
